program_id,name,person_url
122,Marcia Lewis 1973 to 1975,http://www.temple.edu/crafts/metalsdirectorypage/p100.html
122,Linda Threadgill ? to present,http://www.temple.edu/crafts/metalsdirectorypage/p209.html
123,Nancy Thompson 1969 to present,http://www.temple.edu/crafts/metalsdirectorypage/p189.html
124,Heikka Seppa 1965 to 1992,http://www.temple.edu/crafts/metalsdirectorypage/p172.html
124,John Baltrusunas part time from 1972 to 1992,http://www.temple.edu/crafts/metalsdirectorypage/p7.html
125,Phillip Fike 1953 to 1997,http://www.temple.edu/crafts/metalsdirectorypage/p50.html
126,Lorin S. Thunell 1993 to present,http://www.temple.edu/crafts/metalsdirectorypage/p190.html
128,Barney Brienza 1971 to present,http://www.temple.edu/crafts/metalsdirectorypage/p18.html
129,Romona Solberg 1956 to 1967,http://www.temple.edu/crafts/metalsdirectorypage/p179.html
129,Ken Cory 1972 to 1994,http://www.temple.edu/crafts/metalsdirectorypage/p34.html
129,Keith A. Lewis 1993 to present,http://www.temple.edu/crafts/metalsdirectorypage/p99.html
131,Steven C. Ortiz as a visiting artist in 1995,http://www.temple.edu/crafts/metalsdirectorypage/p140.html
136,Jew Freyaulenhoven in 1972,http://www.temple.edu/crafts/metalsdirectorypage/p57.html
137,Phillip Carrizzi,http://www.temple.edu/crafts/metalsdirectorypage/s272.html
141,Charlotte Nichols 1985 to present,http://www.temple.edu/crafts/metalsdirectorypage/p135.html
142,Kenneth Bates 1927 to 1968,http://www.temple.edu/crafts/metalsdirectorypage/p10.html
142,John Paul Miller 1946 to 1983,http://www.temple.edu/crafts/metalsdirectorypage/p124.html
142,Frederick Miller 1947 to 1975,http://www.temple.edu/crafts/metalsdirectorypage/p123.html
142,Arthur Pulos as a visiting professor in the summer sessions of 1949 and 1953,http://www.temple.edu/crafts/metalsdirectorypage/p155.html
142,Jon Havener 1976 to 1977,http://www.temple.edu/crafts/metalsdirectorypage/p76.html
142,Kathy Buszkiewicz 1983 to present,http://www.temple.edu/crafts/metalsdirectorypage/p19.html
142,William Harper as a visiting professor in 1984 to 1985,http://www.temple.edu/crafts/metalsdirectorypage/p73.html
142,Lisa Norton 1987 to 1988,http://www.temple.edu/crafts/metalsdirectorypage/p137.html
142,Matthew Hollern 1989 to present,http://www.temple.edu/crafts/metalsdirectorypage/p80.html
143,Kathleen Malec Kamal 1994 to present,http://www.temple.edu/crafts/metalsdirectorypage/p86.html
144,David La Plantz 1969 to 1970,http://www.temple.edu/crafts/metalsdirectorypage/p94.html
144,Nilda Getty 1970 to present,http://www.temple.edu/crafts/metalsdirectorypage/p61.html
144,Bruce Metcalf 1977 to 1978,http://www.temple.edu/crafts/metalsdirectorypage/p121.html
145,Jeff Georgantes 1987 to present,http://www.temple.edu/crafts/metalsdirectorypage/p60.html
148,Harry Bertoia 1939 to 1943,http://www.temple.edu/crafts/metalsdirectorypage/p13.html
148,Richard Thomas 1948 to 1984,http://www.temple.edu/crafts/metalsdirectorypage/p188.html
148,Gary S Griffin 1984 to present,http://www.temple.edu/crafts/metalsdirectorypage/p70.html
149,Allan C. Fisher 1990 to present,http://www.temple.edu/crafts/metalsdirectorypage/p53.html
151,Harold O'Connor 1993 to present,http://www.temple.edu/crafts/metalsdirectorypage/p138.html
152,John E. Satterfield 1967 to 2000,http://www.temple.edu/crafts/metalsdirectorypage/p166.html
152,Linda Darty Smith 1990 to present,http://www.temple.edu/crafts/metalsdirectorypage/p38.html
153,David G. Logan 1979 to present,http://www.temple.edu/crafts/metalsdirectorypage/p104.html
155,Robert Coogan 1981 to present,http://www.temple.edu/crafts/metalsdirectorypage/p30.html
157,Tim Glotzbach 1980 to present,http://www.temple.edu/crafts/metalsdirectorypage/p65.html
158,Thomas S. Madden 1990 to 1993,http://www.temple.edu/crafts/metalsdirectorypage/p110.html
159,Gregory P. Senn 1986 to present,http://www.temple.edu/crafts/metalsdirectorypage/p171.html
161,Gene Bahling 1969 to present,http://www.temple.edu/crafts/metalsdirectorypage/p5.html
164,Enzo Torcoletti 1971 to present,http://www.temple.edu/crafts/metalsdirectorypage/p191.html
165,William Lattimer 1965 to present,http://www.temple.edu/crafts/metalsdirectorypage/p96.html
166,Charles Loloma 1954 to 1958,http://www.temple.edu/crafts/metalsdirectorypage/p105.html
166,Bob Winston ? to ?,http://www.temple.edu/crafts/metalsdirectorypage/p199.html
166,David Pimentel 1973 to 2004,http://www.temple.edu/crafts/metalsdirectorypage/p151.html
169,Jew Freyaulenhoven 1973 to 1981,http://www.temple.edu/crafts/metalsdirectorypage/p57.html
169,Richard Mafong ? to present,http://www.temple.edu/crafts/metalsdirectorypage/p109.html
170,Geraldine Velasquez 1980 to present,http://www.temple.edu/crafts/metalsdirectorypage/p194.html
172,Leslie Leupp ? to ?,http://www.temple.edu/crafts/metalsdirectorypage/p98.html
172,Robert J. Pum in 1969,http://www.temple.edu/crafts/metalsdirectorypage/p156.html
176,Arch Gregory 1986 to present,http://www.temple.edu/crafts/metalsdirectorypage/p69.html
178,David LaPlantz 1971 to present,http://www.temple.edu/crafts/metalsdirectorypage/p94.html
179,Gail Dial 1974 to present,http://www.temple.edu/crafts/metalsdirectorypage/p42.html
180,Candace Gerbers Brey 1990 to 1993,http://www.temple.edu/crafts/metalsdirectorypage/p17.html
183,Alma Eikerman 1947 to 1978,http://www.temple.edu/crafts/metalsdirectorypage/p45.html
183,Randy Long 1983 to present,http://www.temple.edu/crafts/metalsdirectorypage/p106.html
184,Robert C. Fisher 1974 to 1975,http://www.temple.edu/crafts/metalsdirectorypage/p54.html
185,David La Plantz 1967 to 1968,http://www.temple.edu/crafts/metalsdirectorypage/p94.html
185,Lane Coulter 1989 to present,http://www.temple.edu/crafts/metalsdirectorypage/p32.html
186,John M. Church 1970 to present,http://www.temple.edu/crafts/metalsdirectorypage/p24.html
187,Chuck Evans 1978 to 2001,http://www.temple.edu/crafts/metalsdirectorypage/p47.html
188,Ronald Wyancko 1972 to 2000,http://www.temple.edu/crafts/metalsdirectorypage/p203.html
189,Kenneth C. MacBain 1994 to Present,http://www.temple.edu/crafts/metalsdirectorypage/p275.html
189,Dr Elaine Foster 1967 to 1994,http://www.temple.edu/crafts/metalsdirectorypage/p56.html
190,Dr Elaine Foster 1967 to present,http://www.temple.edu/crafts/metalsdirectorypage/p56.html
191,Elliot Pujol 1973 to present,http://www.temple.edu/crafts/metalsdirectorypage/p154.html
192,Myra Mimlitsch Gray 1986 to 1989,http://www.temple.edu/crafts/metalsdirectorypage/p67.html
193,Mary Ann Scherr 1960 to 1976,http://www.temple.edu/crafts/metalsdirectorypage/p167.html
193,William Harper 1970 to 1973,http://www.temple.edu/crafts/metalsdirectorypage/p73.html
193,Rod McCormick 1978 to 1979,http://www.temple.edu/crafts/metalsdirectorypage/p117.html
193,George Paul Van Duinwyk 1979 to 1982,http://www.temple.edu/crafts/metalsdirectorypage/p193.html
193,Bruce Metcalf 1981 to 1991,http://www.temple.edu/crafts/metalsdirectorypage/p121.html
193,Robin Kraft part time from 1991 to 1994,http://www.temple.edu/crafts/metalsdirectorypage/p90.html
194,James Malenda 1987 to present,http://www.temple.edu/crafts/metalsdirectorypage/p111.html
196,Marcia Lewis 1978 to present,http://www.temple.edu/crafts/metalsdirectorypage/p100.html
197,Barry Stern 1985 to present,http://www.temple.edu/crafts/metalsdirectorypage/p180.html
198,Mark Baldridge 1972 to present,http://www.temple.edu/crafts/metalsdirectorypage/p6.html
199,Tim McCreight ? to present,http://www.temple.edu/crafts/metalsdirectorypage/p118.html
199,Alan Perry 1987 to present,http://www.temple.edu/crafts/metalsdirectorypage/p145.html
200,Harold O'Conner in 1982,http://www.temple.edu/crafts/metalsdirectorypage/p138.html
201,Curtis K. LaFollette 1971 to 1972,http://www.temple.edu/crafts/metalsdirectorypage/p93.html
201,Bruce Metcalf 1979 to 1980,http://www.temple.edu/crafts/metalsdirectorypage/p121.html
201,Joseph Wood 1986 to present,http://www.temple.edu/crafts/metalsdirectorypage/p202.html
202,Harold Hasselschwert 1965 to 1990,http://www.temple.edu/crafts/public_html/mjcc/local/history/p75.html
202,Chuck Evans 1972 to 197 8,http://www.temple.edu/crafts/public_html/mjcc/local/history/p47.html
202,Thomas S. Madden 1986 to 1990,http://www.temple.edu/crafts/public_html/mjcc/local/history/p110.html
202,Thomas Muir 1991 to present,http://www.temple.edu/crafts/public_html/mjcc/local/history/p132.html
203,L. Brent Kington 1961 to 1997,http://www.temple.edu/crafts/public_html/mjcc/local/history/p89.html
203,Mary Lee Hu 1968 to 1969,http://www.temple.edu/crafts/public_html/mjcc/local/history/p82.html
203,Richard Mawdsley 1978 to present,http://www.temple.edu/crafts/public_html/mjcc/local/history/p115.html
204,Rachelle Thiewes 1976 to present,http://www.temple.edu/crafts/public_html/mjcc/local/history/p187.html
205,Carlyle Smith 1947 to 1977,http://www.temple.edu/crafts/public_html/mjcc/local/history/p178.html
205,Klaus Kallenberger 1965 to 1966,http://www.temple.edu/crafts/public_html/mjcc/local/history/p85.html
205,Robert Montgomery ? to ?,http://www.temple.edu/crafts/public_html/mjcc/local/history/p126.html
205,Olli Peter Valanne 1974 to 1994,http://www.temple.edu/crafts/public_html/mjcc/local/history/p192.html
205,Jon Havener 1977 to present,http://www.temple.edu/crafts/public_html/mjcc/local/history/p76.html
207,Mary Ann Scherr 1960 to 1976,http://www.temple.edu/crafts/public_html/mjcc/local/history/p167.html
207,William Harper 1970 to 1973,http://www.temple.edu/crafts/public_html/mjcc/local/history/p73.html
207,Rod McCormick 1978 to 1979,http://www.temple.edu/crafts/public_html/mjcc/local/history/p117.html
207,George Paul Van Duinwyk 1979 to 1982,http://www.temple.edu/crafts/public_html/mjcc/local/history/p193.html
207,Bruce Metcalf 1981 to 1991,http://www.temple.edu/crafts/public_html/mjcc/local/history/p121.html
207,Robin Kraft part time from 1991 to 1994,http://www.temple.edu/crafts/public_html/mjcc/local/history/p90.html
